scenario,load,phase,metric,A_mean,A_ci_lo,A_ci_hi,A_stdev,A_n,B_mean,B_ci_lo,B_ci_hi,B_stdev,B_n,delta_pct,p_value,significant,winner
S2,L2,phase1_rampup,p90_ms,2.693,2.622,2.765,0.029,3,2.472,2.326,2.617,0.059,3,-8.236,0.0106,YES,B
S2,L2,phase1_rampup,p99_ms,3.998,3.730,4.266,0.108,3,3.721,3.634,3.808,0.035,3,-6.934,0.0367,YES,B
S2,L2,phase1_rampup,p999_ms,8.972,5.726,12.219,1.307,3,4.812,3.862,5.763,0.383,3,-46.364,0.0240,YES,B
S2,L2,phase1_rampup,max_ms,9.871,6.137,13.606,1.503,3,5.352,3.161,7.544,0.882,3,-45.778,0.0176,YES,B
S2,L2,phase1_rampup,rps,199.970,199.939,200.001,0.012,3,199.977,199.961,199.993,0.006,3,0.004,0.4348,NO,A
S2,L2,phase2_sustained,p50_ms,2.557,2.523,2.591,0.014,3,2.433,2.276,2.590,0.063,3,-4.852,0.0708,NO,B
S2,L2,phase2_sustained,p90_ms,4.567,4.452,4.682,0.046,3,4.154,3.504,4.804,0.262,3,-9.045,0.1075,NO,B
S2,L2,phase2_sustained,p99_ms,7.061,6.637,7.486,0.171,3,6.381,5.079,7.684,0.524,3,-9.628,0.1438,NO,B
S2,L2,phase2_sustained,p999_ms,11.864,9.575,14.153,0.921,3,8.682,7.392,9.973,0.520,3,-26.819,0.0121,YES,B
S2,L2,phase2_sustained,max_ms,13.319,9.055,17.584,1.717,3,11.001,6.895,15.107,1.653,3,-17.403,0.1674,NO,B
S2,L2,phase2_sustained,rps,399.971,399.939,400.003,0.013,3,399.974,399.960,399.988,0.006,3,0.001,0.7683,NO,A
S2,L2,phase3_burst1,p50_ms,2.515,2.474,2.555,0.016,3,2.532,2.196,2.869,0.135,3,0.691,0.8454,NO,A
S2,L2,phase3_burst1,p90_ms,4.584,4.429,4.740,0.063,3,4.539,3.564,5.514,0.393,3,-0.989,0.8608,NO,B
