NAMESPACE     LAST SEEN   TYPE      REASON             OBJECT                                                         MESSAGE
monitoring    8m32s       Normal    Scheduled          pod/prometheus-prometheus-kube-prometheus-prometheus-0         Successfully assigned monitoring/prometheus-prometheus-kube-prometheus-prometheus-0 to ip-10-0-10-39.ap-southeast-1.compute.internal
monitoring    8m32s       Normal    Created            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Created container: init-config-reloader
monitoring    8m32s       Normal    Created            pod/prometheus-grafana-5875d7786f-xtnj7                        Created container: grafana-sc-dashboard
monitoring    8m32s       Normal    Pulled             pod/prometheus-prometheus-kube-prometheus-prometheus-0         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.74.0" already present on machine
monitoring    8m32s       Normal    Started            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Started container prometheus
monitoring    8m32s       Normal    Created            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Created container: prometheus
monitoring    8m32s       Normal    Pulled             pod/prometheus-prometheus-kube-prometheus-prometheus-0         Container image "quay.io/prometheus/prometheus:v2.52.0" already present on machine
monitoring    8m32s       Normal    Started            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Started container init-config-reloader
monitoring    8m32s       Normal    Pulling            pod/prometheus-grafana-5875d7786f-xtnj7                        Pulling image "docker.io/grafana/grafana:11.0.0"
monitoring    8m32s       Normal    Started            pod/prometheus-grafana-5875d7786f-xtnj7                        Started container grafana-sc-dashboard
monitoring    8m32s       Normal    Started            pod/prometheus-grafana-5875d7786f-xtnj7                        Started container grafana-sc-datasources
monitoring    8m32s       Normal    Pulled             pod/prometheus-prometheus-kube-prometheus-prometheus-0         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.74.0" already present on machine
monitoring    8m32s       Normal    Pulled             pod/prometheus-grafana-5875d7786f-xtnj7                        Container image "quay.io/kiwigrid/k8s-sidecar:1.26.1" already present on machine
monitoring    8m32s       Normal    Created            pod/prometheus-grafana-5875d7786f-xtnj7                        Created container: grafana-sc-datasources
monitoring    8m32s       Normal    Created            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Created container: config-reloader
monitoring    8m32s       Normal    Pulled             pod/prometheus-grafana-5875d7786f-xtnj7                        Successfully pulled image "quay.io/kiwigrid/k8s-sidecar:1.26.1" in 4.574s (4.574s including waiting). Image size: 23978952 bytes.
monitoring    8m32s       Normal    Started            pod/prometheus-prometheus-kube-prometheus-prometheus-0         Started container config-reloader
monitoring    8m23s       Normal    Pulled             pod/prometheus-grafana-5875d7786f-xtnj7                        Successfully pulled image "docker.io/grafana/grafana:11.0.0" in 9.375s (9.376s including waiting). Image size: 120709951 bytes.
monitoring    2m17s       Normal    Created            pod/prometheus-grafana-5875d7786f-xtnj7                        Created container: grafana
monitoring    2m17s       Normal    Started            pod/prometheus-grafana-5875d7786f-xtnj7                        Started container grafana
monitoring    3m19s       Warning   Unhealthy          pod/prometheus-grafana-5875d7786f-xtnj7                        Readiness probe failed: Get "http://10.0.10.122:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    2m          Warning   Unhealthy          pod/prometheus-prometheus-kube-prometheus-prometheus-0         Startup probe failed: Get "http://10.0.10.57:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    101s        Warning   BackOff            pod/prometheus-kube-prometheus-operator-5bd97f6986-vf27j       Back-off restarting failed container kube-prometheus-stack in pod prometheus-kube-prometheus-operator-5bd97f6986-vf27j_monitoring(18646a26-3244-4d24-a14d-9baa3f7c0190)
monitoring    5m17s       Warning   Unhealthy          pod/prometheus-grafana-5875d7786f-xtnj7                        Liveness probe failed: Get "http://10.0.10.122:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring    2m17s       Normal    Pulled             pod/prometheus-grafana-5875d7786f-xtnj7                        Container image "docker.io/grafana/grafana:11.0.0" already present on machine
monitoring    2m17s       Normal    Killing            pod/prometheus-grafana-5875d7786f-xtnj7                        Container grafana failed liveness probe, will be restarted
monitoring    93s         Normal    SuccessfulCreate   replicaset/prometheus-kube-prometheus-operator-5bd97f6986      Created pod: prometheus-kube-prometheus-operator-5bd97f6986-b65nq
monitoring    92s         Normal    Scheduled          pod/prometheus-kube-prometheus-operator-5bd97f6986-b65nq       Successfully assigned monitoring/prometheus-kube-prometheus-operator-5bd97f6986-b65nq to ip-10-0-10-39.ap-southeast-1.compute.internal
monitoring    17s         Normal    Started            pod/prometheus-kube-prometheus-operator-5bd97f6986-b65nq       Started container kube-prometheus-stack
monitoring    17s         Normal    Pulled             pod/prometheus-kube-prometheus-operator-5bd97f6986-b65nq       Container image "quay.io/prometheus-operator/prometheus-operator:v0.74.0" already present on machine
monitoring    17s         Normal    Created            pod/prometheus-kube-prometheus-operator-5bd97f6986-b65nq       Created container: kube-prometheus-stack
monitoring    30s         Warning   BackOff            pod/prometheus-kube-prometheus-operator-5bd97f6986-b65nq       Back-off restarting failed container kube-prometheus-stack in pod prometheus-kube-prometheus-operator-5bd97f6986-b65nq_monitoring(28b6a877-a290-4ce2-aef1-ceda51f78a6e)
