NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
kube-system   58m         Warning   Unhealthy                 pod/cilium-envoy-8hk8m                                     Startup probe failed: Get "http://127.0.0.1:9878/healthz": dial tcp 127.0.0.1:9878: connect: connection refused
kube-system   59m         Normal    Pulled                    pod/cilium-operator-8c598ddf5-n2jpd                        Successfully pulled image "quay.io/cilium/operator-generic:v1.18.7@sha256:244306c5e7c6b73dc7193424f46ed8a0530767b03f03baac80dd717a3a3f0ad7" in 30.521s (30.521s including waiting). Image size: 32956456 bytes.
kube-system   59m         Normal    Started                   pod/cilium-operator-8c598ddf5-n2jpd                        Started container cilium-operator
kube-system   59m         Normal    Created                   pod/cilium-operator-8c598ddf5-n2jpd                        Created container: cilium-operator
kube-system   58m         Warning   Unhealthy                 pod/cilium-envoy-2llwx                                     Startup probe failed: Get "http://127.0.0.1:9878/healthz": dial tcp 127.0.0.1:9878: connect: connection refused
monitoring    59m         Normal    Scheduled                 pod/prometheus-kube-prometheus-operator-5bd97f6986-zf7b4   Successfully assigned monitoring/prometheus-kube-prometheus-operator-5bd97f6986-zf7b4 to ip-10-0-10-72.ap-southeast-1.compute.internal
benchmark     59m         Normal    Scheduled                 pod/fortio-cf9999755-5h8nt                                 Successfully assigned benchmark/fortio-cf9999755-5h8nt to ip-10-0-10-72.ap-southeast-1.compute.internal
monitoring    59m         Normal    Scheduled                 pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk         Successfully assigned monitoring/prometheus-kube-state-metrics-7cdf9894f9-67vrk to ip-10-0-10-72.ap-southeast-1.compute.internal
benchmark     59m         Normal    Scheduled                 pod/echo-ffc5c485d-gh84b                                   Successfully assigned benchmark/echo-ffc5c485d-gh84b to ip-10-0-10-72.ap-southeast-1.compute.internal
kube-system   59m         Normal    Scheduled                 pod/coredns-7889d86cb8-h79c7                               Successfully assigned kube-system/coredns-7889d86cb8-h79c7 to ip-10-0-10-72.ap-southeast-1.compute.internal
monitoring    59m         Normal    Scheduled                 pod/prometheus-grafana-5875d7786f-kjddx                    Successfully assigned monitoring/prometheus-grafana-5875d7786f-kjddx to ip-10-0-10-72.ap-southeast-1.compute.internal
monitoring    59m         Normal    Scheduled                 pod/prometheus-prometheus-kube-prometheus-prometheus-0     Successfully assigned monitoring/prometheus-prometheus-kube-prometheus-prometheus-0 to ip-10-0-10-72.ap-southeast-1.compute.internal
kube-system   59m         Normal    Pulling                   pod/coredns-7889d86cb8-h79c7                               Pulling image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.4"
monitoring    59m         Normal    Pulling                   pod/prometheus-prometheus-kube-prometheus-prometheus-0     Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.74.0"
monitoring    59m         Normal    Pulling                   pod/prometheus-kube-prometheus-operator-5bd97f6986-zf7b4   Pulling image "quay.io/prometheus-operator/prometheus-operator:v0.74.0"
benchmark     59m         Normal    Pulling                   pod/echo-ffc5c485d-gh84b                                   Pulling image "hashicorp/http-echo:1.0"
benchmark     59m         Normal    Pulling                   pod/fortio-cf9999755-5h8nt                                 Pulling image "fortio/fortio:1.74.0"
monitoring    59m         Normal    Pulling                   pod/prometheus-grafana-5875d7786f-kjddx                    Pulling image "quay.io/kiwigrid/k8s-sidecar:1.26.1"
monitoring    59m         Normal    Pulling                   pod/prometheus-kube-state-metrics-7cdf9894f9-67vrk         Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0"
kube-system   59m         Normal    Created                   pod/coredns-7889d86cb8-h79c7                               Created container: coredns
kube-system   59m         Normal    Started                   pod/coredns-7889d86cb8-h79c7                               Started container coredns
kube-system   59m         Normal    Pulled                    pod/coredns-7889d86cb8-h79c7                               Successfully pulled image "602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.4" in 2.59s (2.59s including waiting). Image size: 25994393 bytes.
monitoring    59m         Normal    Started                   pod/prometheus-prometheus-kube-prometheus-prometheus-0     Started container init-config-reloader
monitoring    59m         Normal    Created                   pod/prometheus-prometheus-kube-prometheus-prometheus-0     Created container: init-config-reloader
monitoring    59m         Normal    Pulled                    pod/prometheus-prometheus-kube-prometheus-prometheus-0     Successfully pulled image "quay.io/prometheus-operator/prometheus-config-reloader:v0.74.0" in 5.394s (5.394s including waiting). Image size: 14015494 bytes.
monitoring    59m         Normal    Created                   pod/prometheus-kube-prometheus-operator-5bd97f6986-zf7b4   Created container: kube-prometheus-stack
monitoring    59m         Normal    Started                   pod/prometheus-kube-prometheus-operator-5bd97f6986-zf7b4   Started container kube-prometheus-stack
